Country,Population,Married,Divorced,Single
Côte d'Ivoire,1415,258,232,145
Chad,869,162,162,50
Anguilla,190,38,38,38
Paraguay,736,132,76,112
The former Yugoslav Republic of Macedonia,104,26,26,26
Yemen,833,205,204,102
State of Palestine,832,183,155,148
Senegal,2541,524,494,177
Cabo Verde,782,162,86,163
Sweden,5700,1351,1351,1344
Tokelau,539,151,82,149
Kiribati,848,186,186,186
Republic of Korea,1100,188,270,280
Guyana,1055,166,181,98
Philippines,1673,298,193,232
Djibouti,261,69,51,62
Tonga,781,151,39,181
Malaysia,336,84,28,84
Singapore,632,102,82,158
Fiji,398,94,80,94
Turkey,1904,425,416,256
United States Virgin Islands,326,62,40,62
Malawi,1260,235,159,154
Iraq,809,154,145,133
Sint Maarten (Dutch part),104,26,26,26
Germany,2061,469,441,444
Northern Mariana Islands,235,48,46,48
Comoros,782,162,140,70
Afghanistan,499,116,100,71
Cambodia,1019,218,218,91
Jordan,1701,364,363,123
Maldives,939,226,226,166
Rwanda,1846,323,327,171
Saint Helena,158,35,29,40
Sudan,838,160,158,104
Palau,517,74,72,116
France,3944,970,945,934
Turks and Caicos Islands,300,65,59,66
Greece,632,84,130,130
Kosovo (autonomous province),130,26,26,26
Sri Lanka,693,133,126,126
Montserrat,331,70,65,70
British Virgin Islands,360,72,72,72
Dominica,416,92,48,92
Algeria,701,162,129,129
Equatorial Guinea,382,49,73,42
Togo,1113,203,203,120
Slovakia,1895,468,468,468
Argentina,648,124,50,124
Angola,627,95,101,48
Belgium,1305,287,287,306
San Marino,3471,723,772,896
Ecuador,1095,185,174,171
Qatar,464,116,116,116
Lesotho,1613,269,237,190
Albania,946,185,141,91
Madagascar,821,175,149,70
Finland,5261,1126,1224,1226
New Caledonia,658,108,70,166
Ghana,1771,331,317,115
Myanmar,886,169,151,142
Nicaragua,1272,218,210,115
Brunei Darussalam,516,82,82,136
Lao People’s Democratic Republic,403,96,28,96
Benin,1273,250,249,74
Peru,2261,381,369,134
Sierra Leone,1211,208,227,87
Bahamas,826,138,136,140
China,3082,192,192,192
India,1415,268,201,162
Belarus,718,163,99,100
American Samoa,426,86,84,90
Kuwait,849,214,212,214
Malta,1010,220,160,220
Timor-Leste,849,172,171,94
Sao Tome and Principe,953,152,178,96
Marshall Islands,368,66,66,92
Somalia,189,49,38,42
Tuvalu,327,81,7,81
Chile,2358,452,108,452
Puerto Rico,981,157,179,179
Tajikistan,1011,216,154,96
Martinique,362,88,88,88
United Republic of Tanzania,1749,313,329,142
Cayman Islands,482,76,102,104
Bolivia (Plurinational State of),1154,164,188,118
Isle of Man,560,112,112,112
Croatia,353,54,82,82
Burundi,1372,238,256,136
Nigeria,890,175,175,56
Wallis and Futuna Islands,595,152,77,156
Gabon,416,82,82,24
Italy,2658,494,556,608
Suriname,494,76,104,54
Netherlands Antilles,176,44,22,44
Réunion,570,137,134,137
Lithuania,2031,491,429,462
Norway,6585,1258,1265,1292
Turkmenistan,382,105,21,44
Saint Pierre and Miquelon,402,103,97,104
Spain,886,194,138,194
Cuba,794,136,136,115
Mauritania,767,184,168,119
Czechia,2939,708,708,686
Guadeloupe,362,88,88,88
Central African Republic,598,116,94,44
Denmark,5581,690,1305,1312
Niger,1152,250,234,99
Bangladesh,1095,235,200,155
Barbados,478,96,59,96
Curaçao,206,52,51,54
Russian Federation,711,143,81,100
Venezuela (Bolivarian Republic of),1037,159,145,152
Ireland,2478,508,222,592
Congo,967,188,194,73
Liechtenstein,3155,677,558,686
Thailand,798,103,129,134
Bhutan,425,71,71,64
Democratic Republic of the Congo,815,168,152,44
Monaco,448,112,112,112
Morocco,896,186,211,193
Panama,829,137,137,130
Nauru,42,7,7,7
Ukraine,606,120,52,76
Iceland,5823,1088,1084,1090
Israel,3213,636,658,934
Channel Islands,484,104,100,112
Saint Kitts and Nevis,204,44,39,44
Faeroe Islands,1534,303,323,332
French Polynesia,407,102,79,102
Oman,384,96,74,96
United States of America,4040,770,782,794
Cyprus,626,136,110,136
Gibraltar,616,140,112,140
Uruguay,714,119,119,112
Mexico,2245,374,372,360
Aruba,476,112,112,112
Falkland Islands (Malvinas),161,36,21,40
Estonia,988,234,150,182
Georgia,734,187,83,114
Montenegro,342,75,75,54
Zimbabwe,1736,353,219,191
Indonesia,1963,462,454,287
Saint Vincent and the Grenadines,785,140,134,140
Guam,228,42,42,42
Guatemala,1096,209,183,142
Mongolia,1106,148,168,138
Azerbaijan,1623,383,297,296
Libya,304,76,76,76
Grenada,286,66,22,66
Armenia,1127,253,191,104
Liberia,1189,190,162,180
Tunisia,791,172,171,208
Honduras,673,108,85,101
Trinidad and Tobago,813,141,138,120
Saudi Arabia,836,211,190,212
Iran (Islamic Republic of),746,192,170,192
Uganda,1229,267,199,68
French Guiana,474,116,116,116
Mayotte,289,66,66,66
Namibia,1112,210,178,107
Switzerland,3634,809,833,838
Zambia,1485,252,252,86
Ethiopia,1180,242,242,129
Jamaica,728,145,116,124
Latvia,2180,534,493,522
Eswatini,768,125,150,65
South Sudan,716,166,157,131
United Arab Emirates,368,92,92,92
Saint Lucia,402,72,79,72
Guinea,965,194,175,114
Canada,5302,796,1104,1154
Seychelles,733,158,145,158
Kyrgyzstan,910,203,139,102
Samoa,1125,260,126,262
Uzbekistan,591,123,107,60
Mozambique,1595,318,212,186
Cook Islands,727,150,144,150
Belize,770,129,121,122
Brazil,1163,198,185,176
Gambia,737,128,140,71
Kenya,1148,172,182,91
Lebanon,380,74,50,96
Antigua and Barbuda,244,48,26,48
Slovenia,2521,621,605,628
Dominican Republic,2011,315,323,136
Viet Nam,1491,275,277,137
Botswana,881,180,125,174
Japan,1056,184,238,264
Luxembourg,1199,190,246,246
New Zealand,966,160,188,188
Bosnia and Herzegovina,323,28,54,8
Greenland,3731,555,890,922
Haiti,1402,259,242,104
Poland,1712,372,342,362
Portugal,952,196,168,168
Republic of Moldova,881,179,137,102
Australia,2182,486,486,488
Cameroon,1068,209,159,77
Papua New Guinea,562,123,60,141
Guinea-Bissau,632,137,55,82
Romania,2245,502,504,558
Bulgaria,1412,298,298,272
Solomon Islands,763,132,106,160
Austria,2134,500,500,474
Nepal,1475,280,276,147
Costa Rica,3166,530,523,523
Egypt,1745,391,367,152
El Salvador,664,117,115,96
Kazakhstan,782,189,125,96
Serbia,381,71,71,54
Burkina Faso,1554,347,293,192
South Africa,1166,223,192,176
Bermuda,672,134,134,136
Bahrain,504,127,127,129
Colombia,1479,286,84,92
Hungary,6110,1426,1398,1424
Micronesia (Fed. States of),240,60,32,62
Pakistan,1401,326,294,198
Vanuatu,536,55,81,102
Niue,525,126,83,127
Mauritius,677,111,109,118
Syrian Arab Republic,457,113,78,106
United Kingdom,2290,552,530,552
Mali,1399,266,234,150
Netherlands,5340,978,1260,1284
